repeat_training.thisRepN,repeat_training.thisTrialN,repeat_training.thisN,repeat_training.thisIndex,training_loop.thisRepN,training_loop.thisTrialN,training_loop.thisN,training_loop.thisIndex,show_images_t.thisRepN,show_images_t.thisTrialN,show_images_t.thisN,show_images_t.thisIndex,redisplay_image_loop_t.thisRepN,redisplay_image_loop_t.thisTrialN,redisplay_image_loop_t.thisN,redisplay_image_loop_t.thisIndex,show_images.thisRepN,show_images.thisTrialN,show_images.thisN,show_images.thisIndex,redisplay_image_loop.thisRepN,redisplay_image_loop.thisTrialN,redisplay_image_loop.thisN,redisplay_image_loop.thisIndex,initialTraining_sucessRate,initialTraining_loopNum,imagesVariation,imagesVariationSign,correctAnswerBoolean,correctAnswer,fullRoutineRT,locations,img1Colors,img2Colors,routineNumber,pressedKey,numOfCorrectAnswers,numOfWrongAnswers,numOfLoops,totalNumOfLoops,singleRoutineRT,totalNumOfTrials,trialsOrder,genderBoolean,shapeBoolean,handednessBoolean,participant,session,gender,age,handedness,number of years in education,shape,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,50.0,0,,,,,,,,,,,,,,,,,,,,,352982,001,man,123,right-handed,123,square,2023-02-12_15h14.16.393,grid,2022.2.4,239.9992319931173,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,50.0,1,,,,,,,,,,,,,,,,,,,,,352982,001,man,123,right-handed,123,square,2023-02-12_15h14.16.393,grid,2022.2.4,239.9992319931173,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,62.5,2,,,,,,,,,,,,,,,,,,,,,352982,001,man,123,right-handed,123,square,2023-02-12_15h14.16.393,grid,2022.2.4,239.9992319931173,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,87.5,3,,,,,,,,,,,,,,,,,,,,,352982,001,man,123,right-handed,123,square,2023-02-12_15h14.16.393,grid,2022.2.4,239.9992319931173,
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,!=,False,0,2.79295540000021,"[[861, -255], [-677, -254], [-826, -145], [-491, 131]]","['blue', 'purple', 'green', 'orange']","['blue', 'purple', 'green', 'red']",0,p,0,1,0,0,1.7917964000007487,,,,,,352982,001,man,123,right-handed,123,square,2023-02-12_15h14.16.393,grid,2022.2.4,239.9992319931173,
,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,,,1,==,False,0,1.2779254999986733,"[[288, -50], [-281, -61], [259, -233], [-836, -70]]","['blue', 'red', 'orange', 'yellow']","['blue', 'red', 'orange', 'yellow']",1,q,0,2,0,0,0.27644099999997707,,,,,,352982,001,man,123,right-handed,123,square,2023-02-12_15h14.16.393,grid,2022.2.4,239.9992319931173,
,,,,,,,,,,,,,,,,2,0,2,0,0,0,0,0,,,1,==,False,0,1.0010416000004625,"[[-98, 165], [886, 256], [853, 344], [-292, -444]]","['#ff94c0', 'red', 'green', 'blue']","['#ff94c0', 'red', 'green', 'blue']",2,q,0,3,0,0,0.0003177999988110969,,,,,,352982,001,man,123,right-handed,123,square,2023-02-12_15h14.16.393,grid,2022.2.4,239.9992319931173,
,,,,,,,,,,,,,,,,3,0,3,0,0,0,0,0,,,1,==,True,1,1.0079137000011542,"[[653, -41], [865, 455], [474, 442], [249, 141]]","['red', '#ff94c0', 'green', 'yellow']","['red', '#ff94c0', 'green', 'yellow']",3,p,1,3,0,0,0.005171300001165946,,,,,,352982,001,man,123,right-handed,123,square,2023-02-12_15h14.16.393,grid,2022.2.4,239.9992319931173,
,,,,,,,,,,,,,,,,4,0,4,0,0,0,0,0,,,1,==,True,1,0.9993111999992834,"[[65, 249], [-687, 132], [447, -334], [-309, -30]]","['purple', 'saddlebrown', 'yellow', 'cyan']","['purple', 'saddlebrown', 'yellow', 'cyan']",4,p,2,3,0,0,0.0003426000002946239,,,,,,352982,001,man,123,right-handed,123,square,2023-02-12_15h14.16.393,grid,2022.2.4,239.9992319931173,
,,,,,,,,,,,,,,,,5,0,5,0,0,0,0,0,,,1,==,True,1,1.002596899999844,"[[826, -145], [-844, 247], [-653, -47], [294, 343]]","['cyan', 'red', 'saddlebrown', 'yellow']","['cyan', 'red', 'saddlebrown', 'yellow']",5,p,3,3,0,0,0.000318899999911082,,,,,,352982,001,man,123,right-handed,123,square,2023-02-12_15h14.16.393,grid,2022.2.4,239.9992319931173,
,,,,,,,,,,,,,,,,6,0,6,0,0,0,0,0,,,0,!=,False,0,0.9995939999989787,"[[-308, 369], [285, 133], [-876, -37], [667, 450]]","['cyan', 'yellow', 'green', 'saddlebrown']","['cyan', 'yellow', 'green', 'red']",6,p,3,4,0,0,0.00031909999961499125,,,,,,352982,001,man,123,right-handed,123,square,2023-02-12_15h14.16.393,grid,2022.2.4,239.9992319931173,
,,,,,,,,,,,,,,,,7,0,7,0,0,0,0,0,,,1,==,True,1,1.0024926000005507,"[[-702, 353], [680, -342], [499, -443], [820, -446]]","['#ff94c0', 'blue', 'orange', 'saddlebrown']","['#ff94c0', 'blue', 'orange', 'saddlebrown']",7,p,4,4,0,0,0.0003186000012647128,,,,,,352982,001,man,123,right-handed,123,square,2023-02-12_15h14.16.393,grid,2022.2.4,239.9992319931173,
,,,,,,,,,,,,,,,,8,0,8,0,0,0,0,0,,,0,!=,True,1,1.0093554000013683,"[[-834, 245], [-864, -156], [851, 68], [886, 366]]","['orange', 'blue', 'yellow', 'green']","['orange', 'blue', 'yellow', 'red']",8,q,5,4,0,0,0.008914200001527206,,,,,,352982,001,man,123,right-handed,123,square,2023-02-12_15h14.16.393,grid,2022.2.4,239.9992319931173,
,,,,,,,,,,,,,,,,9,0,9,0,0,0,0,0,,,0,!=,True,1,0.9999528999996983,"[[-498, 146], [632, -149], [477, 62], [115, -241]]","['green', 'yellow', 'cyan', '#ff94c0']","['green', 'yellow', 'cyan', 'red']",9,q,6,4,0,0,0.00027769999906013254,,,,,,352982,001,man,123,right-handed,123,square,2023-02-12_15h14.16.393,grid,2022.2.4,239.9992319931173,
,,,,,,,,,,,,,,,,10,0,10,0,0,0,0,0,,,1,==,False,0,1.0025238999987778,"[[105, 152], [635, 365], [-67, 458], [468, -258]]","['#ff94c0', 'purple', 'saddlebrown', 'green']","['#ff94c0', 'purple', 'saddlebrown', 'green']",10,q,6,5,0,0,0.000296499998512445,,,,,,352982,001,man,123,right-handed,123,square,2023-02-12_15h14.16.393,grid,2022.2.4,239.9992319931173,
,,,,,,,,,,,,,,,,11,0,11,0,0,0,0,0,,,0,!=,True,1,1.0005844000006618,"[[853, 46], [683, 41], [-660, -245], [635, 248]]","['green', 'blue', 'saddlebrown', 'orange']","['green', 'blue', 'saddlebrown', 'yellow']",11,q,7,5,0,0,0.00028870000096503645,,,,,,352982,001,man,123,right-handed,123,square,2023-02-12_15h14.16.393,grid,2022.2.4,239.9992319931173,
,,,,,,,,,,,,,,,,12,0,12,0,0,0,0,0,,,1,==,False,0,1.0028542000000016,"[[279, -466], [455, 363], [827, -351], [-864, 230]]","['yellow', 'purple', 'green', 'blue']","['yellow', 'purple', 'green', 'blue']",12,q,7,6,0,0,0.0002879999992728699,,,,,,352982,001,man,123,right-handed,123,square,2023-02-12_15h14.16.393,grid,2022.2.4,239.9992319931173,
,,,,,,,,,,,,,,,,13,0,13,0,0,0,0,0,,,0,!=,False,0,1.0027816000001621,"[[-666, 130], [-645, -150], [248, -63], [-282, -335]]","['orange', 'purple', 'red', 'green']","['orange', 'purple', 'red', 'cyan']",13,p,7,7,0,0,0.0002908000005845679,,,,,,352982,001,man,123,right-handed,123,square,2023-02-12_15h14.16.393,grid,2022.2.4,239.9992319931173,
,,,,,,,,,,,,,,,,14,0,14,0,0,0,0,0,,,0,!=,False,0,1.0019363000010344,"[[291, -366], [-317, -267], [-632, -130], [-512, -455]]","['saddlebrown', 'red', 'blue', 'green']","['saddlebrown', 'red', 'blue', 'cyan']",14,p,7,8,0,0,0.0002914000015152851,,,,,,352982,001,man,123,right-handed,123,square,2023-02-12_15h14.16.393,grid,2022.2.4,239.9992319931173,
,,,,,,,,,,,,,,,,15,0,15,0,0,0,0,0,,,1,==,True,1,1.002316999998584,"[[-472, -430], [124, -247], [132, 268], [-483, 331]]","['purple', 'saddlebrown', 'yellow', 'blue']","['purple', 'saddlebrown', 'yellow', 'blue']",15,p,8,8,0,0,0.0002972999991470715,,,,,,352982,001,man,123,right-handed,123,square,2023-02-12_15h14.16.393,grid,2022.2.4,239.9992319931173,
,,,,,,,,,,,,,,,,16,0,16,0,0,0,0,0,,,0,!=,False,0,0.9991073000001052,"[[-467, 232], [-690, 70], [858, -265], [78, -251]]","['red', 'yellow', 'purple', 'cyan']","['red', 'yellow', 'purple', 'blue']",16,p,8,9,0,0,0.0002791999995679362,,,,,,352982,001,man,123,right-handed,123,square,2023-02-12_15h14.16.393,grid,2022.2.4,239.9992319931173,
,,,,,,,,,,,,,,,,17,0,17,0,0,0,0,0,,,1,==,True,1,1.002532099999371,"[[639, 436], [-668, 441], [256, -332], [511, 359]]","['green', 'purple', 'blue', 'red']","['green', 'purple', 'blue', 'red']",17,p,9,9,0,0,0.00029150000045774505,,,,,,352982,001,man,123,right-handed,123,square,2023-02-12_15h14.16.393,grid,2022.2.4,239.9992319931173,
,,,,,,,,,,,,,,,,18,0,18,0,0,0,0,0,,,0,!=,False,0,1.000951800000621,"[[840, 335], [-283, 130], [-687, -464], [848, -437]]","['yellow', 'purple', '#ff94c0', 'orange']","['yellow', 'purple', '#ff94c0', 'red']",18,p,9,10,0,0,0.0002903000004153,,,,,,352982,001,man,123,right-handed,123,square,2023-02-12_15h14.16.393,grid,2022.2.4,239.9992319931173,
,,,,,,,,,,,,,,,,19,0,19,0,0,0,0,0,,,0,!=,False,0,1.0032467000000906,"[[480, -166], [-645, 46], [641, 251], [-496, -432]]","['yellow', 'red', '#ff94c0', 'purple']","['yellow', 'red', '#ff94c0', 'blue']",19,p,9,11,0,0,0.0002925000007962808,,,,,,352982,001,man,123,right-handed,123,square,2023-02-12_15h14.16.393,grid,2022.2.4,239.9992319931173,
,,,,,,,,,,,,,,,,20,0,20,0,0,0,0,0,,,1,==,True,1,1.0029206999988673,"[[839, 230], [57, -257], [-681, -231], [-292, 460]]","['red', 'blue', 'cyan', 'yellow']","['red', 'blue', 'cyan', 'yellow']",20,p,10,11,0,0,0.0003438000003370689,,,,,,352982,001,man,123,right-handed,123,square,2023-02-12_15h14.16.393,grid,2022.2.4,239.9992319931173,
,,,,,,,,,,,,,,,,21,0,21,0,0,0,0,0,,,0,!=,False,0,1.0006257999993977,"[[509, 134], [681, 255], [-823, -464], [-699, -454]]","['yellow', 'orange', 'red', 'purple']","['yellow', 'orange', 'red', 'blue']",21,p,10,12,0,0,0.00026220000108878594,,,,,,352982,001,man,123,right-handed,123,square,2023-02-12_15h14.16.393,grid,2022.2.4,239.9992319931173,
,,,,,,,,,,,,,,,,22,0,22,0,0,0,0,0,,,1,==,True,1,1.0022153000008984,"[[86, 467], [-633, 267], [64, -451], [-255, -346]]","['green', 'yellow', 'orange', 'blue']","['green', 'yellow', 'orange', 'blue']",22,p,11,12,0,0,0.0002996000002895016,,,,,,352982,001,man,123,right-handed,123,square,2023-02-12_15h14.16.393,grid,2022.2.4,239.9992319931173,
,,,,,,,,,,,,,,,,23,0,23,0,0,0,0,0,,,0,!=,False,0,1.0040637999991304,"[[644, -150], [-276, -436], [-638, 236], [81, 350]]","['green', 'blue', 'cyan', 'yellow']","['green', 'blue', 'cyan', 'red']",23,p,11,13,0,0,0.00029319999885046855,,,,,,352982,001,man,123,right-handed,123,square,2023-02-12_15h14.16.393,grid,2022.2.4,239.9992319931173,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,13,,0,,24,"[0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0]",1,0,0,352982,001,man,123,right-handed,123,square,2023-02-12_15h14.16.393,grid,2022.2.4,239.9992319931173,
